quando                    | quem    | balcao | o_que                     | canal_criado/usado 
---------------------------------------------------------------------------------------------
Wed May 27 18:24:59 2015  | Balcao  | 1      | inicia_mempart            | -                  
Wed May 27 18:24:59 2015  | Balcao  | 1      | cria_linh_mempart         | /tmp/fb_30668      
Wed May 27 18:24:59 2015  | Balcao  | 2      | cria_linh_mempart         | /tmp/fb_30670      
Wed May 27 18:24:59 2015  | Balcao  | 3      | cria_linh_mempart         | /tmp/fb_30669      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30691      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30691      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30694      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30683      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30694      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30684      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30683      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30684      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30680      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30680      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30698      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30698      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30695      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30695      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30682      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30682      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30679      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30679      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30693      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30693      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30692      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30692      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30678      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30678      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30681      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30681      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30700      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30700      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30690      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30690      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30688      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30688      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30697      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30697      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30687      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30687      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30686      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30686      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30685      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30685      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30689      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30689      
Wed May 27 18:25:00 2015  | Cliente | 1      | pede_atendimento          | /tmp/fc_30696      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30696      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30721      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30721      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30725      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30743      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30743      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30733      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30746      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30725      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30733      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30723      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30739      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30746      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30740      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30728      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30739      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30723      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30741      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30740      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30730      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30728      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30753      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30732      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30741      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30730      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30753      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30745      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30729      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30731      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30742      
